Tema,Pergunta,AlternativaA,AlternativaB,AlternativaC,AlternativaD,Resposta,Dificuldade
Ciências,Qual é o planeta mais próximo do Sol?,Mercúrio,Vênus,Terra,Marte,A,1
Ciências,Qual elemento químico possui o símbolo O?,Ouro,Oxigênio,Ósmio,Ozônio,B,1
Ciências,Qual gás as plantas absorvem na fotossíntese?,O2,N2,CO2,CH4,C,2
Ciências,Qual força puxa objetos em direção à Terra?,Magnetismo,Gravidade,Fricção,Tensão,B,1
Ciências,Qual é a unidade de resistência elétrica?,Watt,Volt,Ampere,Ohm,D,2
Ciências,Qual é o maior planeta do Sistema Solar?,Terra,Júpiter,Saturno,Urano,B,2
Ciências,Qual processo do ciclo da água libera vapor pelas plantas?,Evaporação,Transpiração,Condensação,Precipitação,B,3
Ciências,Qual é o menor osso do corpo humano?,Martelo,Estribo,Bigorna,Fêmur,B,3
Ciências,Quem propôs a teoria da relatividade?,Newton,Einstein,Galileu,Maxwell,B,1
Ciências,Qual tipo sanguíneo é doador universal?,O−,AB+,A+,B−,A,2
Ciências,Em qual camada da atmosfera está a maior parte do ozônio?,Troposfera,Estratosfera,Mesosfera,Termosfera,B,3
Ciências,Qual é a velocidade da luz no vácuo (aprox.)?,3×10^8 m/s,"1,5×10^8 m/s",3×10^6 m/s,"1,5×10^6 m/s",A,4
Ciências,Qual é o nome científico dos humanos modernos?,Homo habilis,Homo erectus,Homo sapiens,Homo neanderthalensis,C,1
Ciências,Qual valor de pH é considerado neutro a 25 °C?,5,7,9,11,B,1
Ciências,Que instrumento mede a pressão atmosférica?,Barômetro,Anemômetro,Higrômetro,Termômetro,A,2
Ciências,Qual processo de divisão celular ocorre em células somáticas?,Mitose,Meiose,Fissão,Plasmólise,A,2
Ciências,Qual partícula subatômica não possui carga elétrica?,Próton,Elétron,Nêutron,Posítron,C,2
Ciências,Que instrumento mede terremotos?,Sismógrafo,Barômetro,Telescópio,Acelerômetro,A,2
Ciências,Qual fenômeno separa a luz branca em um prisma?,Difração,Refração,Dispersão,Reflexão,C,4
Ciências,Qual é o valor aproximado da constante de Avogadro?,"6,02×10^23","3,14×10^10","9,81×10^2","1,60×10^−19",A,5
História,Em que ano ocorreu a queda da Bastilha?,1776,1789,1812,1848,B,2
História,Quem foi o primeiro imperador romano?,Júlio César,Augusto,Nero,Trajano,B,3
História,Qual civilização construiu Machu Picchu?,Maya,Asteca,Inca,Olmeca,C,1
História,Em que século ocorreu a Revolução Industrial?,XV,XVI,XVIII,XIX,C,2
História,Quem liderou a marcha do sal na Índia em 1930?,Jawaharlal Nehru,Subhas Chandra Bose,Mahatma Gandhi,Bhagat Singh,C,3
História,Qual tratado encerrou a Primeira Guerra Mundial?,Versalhes,Tordesilhas,Utrecht,Paris,A,2
História,Qual imperador brasileiro aboliu a escravidão?,Dom Pedro I,Dom Pedro II,Juscelino Kubitschek,Getúlio Vargas,B,1
História,Quem foi a primeira mulher a ganhar o Nobel?,Marie Curie,Florence Nightingale,Ada Lovelace,Rosalind Franklin,A,1
História,Qual navegação completou a primeira volta ao mundo?,Santa Maria,Victoria,Endeavour,Beagle,B,4
História,Em que ano o Muro de Berlim caiu?,1987,1988,1989,1990,C,1
História,Qual civilização inventou a escrita cuneiforme?,Egípcia,Suméria,Fenícia,Grega,B,3
História,Quem pintou o afresco 'A Escola de Atenas'?,Leonardo da Vinci,Rafael,Michelangelo,Botticelli,B,2
História,Qual rainha inglesa foi chamada de 'Rainha Virgem'?,Maria I,Elizabeth I,Victoria,Anne,B,2
História,Em que batalha Napoleão foi definitivamente derrotado?,Austerlitz,Waterloo,Borodino,Leipzig,B,3
História,Qual cidade foi bombardeada com a primeira bomba atômica?,Nagasaki,Hiroshima,Tóquio,Osaka,B,1
